"","Title","Authors","Source Title","Publication Year","Total Citations"
"611","Size distribution dynamics reveal particle-phase chemistry in organic aerosol formation","Shiraiwa;Ziemann","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2013,111
"612","Spatial and temporal scales of variability for indoor air constituents","Shiraiwa;Novoselac;Young;Farmer;Rim;Abbatt;Carslaw;Stevens;Kahan","COMMUNICATIONS CHEMISTRY",2021,0
"613","Spatial distributions of ozonolysis products from human surfaces in ventilated rooms","Shiraiwa;Young;Rim;Morrison","INDOOR AIR",2020,4
"614","The impact of clothing on ozone and squalene ozonolysis products in indoor environments","Shiraiwa;Young;Rim;Morrison","COMMUNICATIONS CHEMISTRY",2019,22
"615","The role of long-lived reactive oxygen intermediates in the reaction of ozone with aerosol particles","Shiraiwa;Abbatt","NATURE CHEMISTRY",2011,128
"616","Cooking, Bleach Cleaning, and Air Conditioning Strongly Impact Levels of HONO in a House","Vance;Novoselac;Farmer;Abbatt;Stevens","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,4
"617","Fates and spatial variations of accumulation mode particles in a multi-zone indoor environment during the HOMEChem campaign","Vance;Farmer","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2021,1
"618","Glass surface evolution following gas adsorption and particle deposition from indoor cooking events as probed by microspectroscopic analysis","Vance;Farmer;Rim;O'Brien;Grassian","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2020,4
"619","Indoor air: sources, chemistry and health effects","Vance;Farmer","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,2
"620","Indoor black carbon and brown carbon concentrations from cooking and outdoor penetration: insights from the HOMEChem study","Vance;Farmer;Nazaroff","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2021,0
"621","Indoor emissions of total and fluorescent supermicron particles during HOMEChem","Vance;Goldstein;Novoselac;Farmer;Nazaroff","INDOOR AIR",2021,5
"622","Indoor Particulate Matter during HOMEChem: Concentrations, Size Distributions, and Exposures","Vance;Goldstein;Farmer;Nazaroff","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,27
"623","Indoor Surface Chemistry: Developing a Molecular Picture of Reactions on Indoor Interfaces","Vance;Ault;Donaldson;Farmer;Morrison;Shiraiwa;Carslaw;O'Brien;McNeill;Grassian","CHEM",2020,10
"624","Multiphase Chemistry Controls Inorganic Chlorinated and Nitrogenated Compounds in Indoor Air during Bleach Cleaning","Vance;Goldstein;Farmer;Abbatt;Ruiz;Shiraiwa;Kahan","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,24
"625","Overview of HOMEChem: House Observations of Microbial and Environmental Chemistry","Vance;Goldstein;Novoselac;Farmer;Abbatt;Ruiz;Stevens;O'Brien;Kahan;Grassian;Nazaroff","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,62
"626","Quantification of cooking organic aerosol in the indoor environment using aerodyne aerosol mass spectrometers","Vance;Goldstein;Farmer;Ruiz","AEROSOL SCIENCE AND TECHNOLOGY",2021,2
"627","Real-time organic aerosol chemical speciation in the indoor environment using extractive electrospray ionization mass spectrometry","Vance;Goldstein;Farmer;Ruiz","INDOOR AIR",2021,6
"628","Surface Emissions Modulate Indoor SVOC Concentrations through Volatility-Dependent Partitioning","Vance;Goldstein;Nazaroff","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,12
"629","Surface reservoirs dominate dynamic gas-surface partitioning of many indoor air constituents","Vance;Goldstein;Novoselac;Farmer;Abbatt;Nazaroff","SCIENCE ADVANCES",2020,36
"630","Volatile organic compound emissions during HOMEChem","Vance;Goldstein;Novoselac;Farmer;Nazaroff","INDOOR AIR",2021,1
"631","Alternative ventilation strategies in US offices: Comprehensive assessment and sensitivity analysis of energy saving potential","Waring;Adams","BUILDING AND ENVIRONMENT",2017,21
"632","Alternative ventilation strategies in US offices: Saving energy while enhancing work performance, reducing absenteeism, and considering outdoor pollutant exposure tradeoffs","Waring;Adams","BUILDING AND ENVIRONMENT",2017,25
"633","Fungal Signature of Moisture Damage in Buildings: Identification by Targeted and Untargeted Approaches with Mycobiome Data","Waring;Adams","APPLIED AND ENVIRONMENTAL MICROBIOLOGY",2020,2
"634","Indoor aerosol water content and phase state in US residences: impacts of relative humidity, aerosol mass and composition, and mechanical system operation","Waring;Shiraiwa","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2020,2
"635","Indoor secondary organic aerosols: Towards an improved representation of their formation and composition in models","Waring;Carslaw","ATMOSPHERIC ENVIRONMENT",2020,5
"636","Measuring the efficacy of HVAC particle filtration over a range of ventilation rates in an office building","Waring;Adams","BUILDING AND ENVIRONMENT",2018,10
"637","Modeling impacts of dynamic ventilation strategies on indoor air quality of offices in six US cities","Waring;Adams","BUILDING AND ENVIRONMENT",2013,44
"638","Modelling consortium for chemistry of indoor environments (MOCCIE): integrating chemical processes from molecular to room scales","Waring;Young;Rim;Morrison;Shiraiwa;Carslaw","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,16
"639","Observations and Contributions of Real-Time Indoor Ammonia Concentrations during HOMEChem","Waring;Goldstein;Novoselac","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,20
"640","Optimizing ventilation: Theoretical study on increasing rates in offices to maximize occupant productivity with constrained additional energy use","Waring;Adams","BUILDING AND ENVIRONMENT",2019,7
"641","Reactive indoor air chemistry and health-A workshop summary","Waring;Carslaw","INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH",2017,19
"642","Simplified daily models for estimating energy consumption impacts of changing office building ventilation rates","Waring;Adams","BUILDING AND ENVIRONMENT",2018,4
"643","Ten questions concerning the microbiomes of buildings","Waring;Adams","BUILDING AND ENVIRONMENT",2016,76
"644","Using multiobjective optimizations to discover dynamic building ventilation strategies that can improve indoor air quality and reduce energy use","Waring;Adams","ENERGY AND BUILDINGS",2014,36
"645","Characterizing and understanding the reactivity and fate of aminoalcohols in the environment","Borduas-Dedekind;Abbatt","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY",2012,0
"646","Ion chromatographic separation and quantitation of alkyl methylamines and ethylamines in atmospheric gas and particulate matter using preconcentration and suppressed conductivity detection","Borduas-Dedekind;VandenBoer","JOURNAL OF CHROMATOGRAPHY A",2012,32
"647","Gas Phase Oxidation of Monoethanolamine (MEA) with OH Radical and Ozone: Kinetics, Products, and Particles","Borduas-Dedekind;Abbatt","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2013,51
"648","Atmospheric sources and sinks of amines, amides, and isocyanic acid (HNCO)","Borduas-Dedekind;Abbatt","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY",2014,0
"649","Experimental and Theoretical Understanding of the Gas Phase Oxidation of Atmospheric Amides with OH Radicals: Kinetics, Products, and Mechanisms","Borduas-Dedekind;Abbatt","JOURNAL OF PHYSICAL CHEMISTRY A",2015,45
"650","Gas Phase Oxidation of Nicotine by OH Radicals: Kinetics, Mechanisms, and Formation of HNCO","Borduas-Dedekind;Abbatt","ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS",2016,22
"651","Gas-Phase Mechanisms of the Reactions of Reduced Organic Nitrogen Compounds with OH Radicals","Borduas-Dedekind;Abbatt","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2016,28
"652","Solubility and reactivity of HNCO in water: insights into HNCO's fate in the atmosphere","Borduas-Dedekind;Abbatt","ATMOSPHERIC CHEMISTRY AND PHYSICS",2016,27
"653","Exploring Conditions for Ultrafine Particle Formation from Oxidation of Cigarette Smoke in Indoor Environments","Borduas-Dedekind;Abbatt","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2018,10
"654","Photomineralization mechanism changes the ability of dissolved organic matter to activate cloud droplets and to nucleate ice crystals","Borduas-Dedekind;McNeill","ATMOSPHERIC CHEMISTRY AND PHYSICS",2019,16
"655","Reactive Oxygen Species Production from Secondary Organic Aerosols: The Importance of Singlet Oxygen","Borduas-Dedekind;McNeill","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,19
"656","Singlet Oxygen Photooxidation of Peptidic Oxazoles and Thiazoles","Borduas-Dedekind;McNeill","JOURNAL OF ORGANIC CHEMISTRY",2019,7
"657","Sources of isocyanic acid (HNCO) indoors: a focus on cigarette smoke","Borduas-Dedekind;Abbatt","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,9
"658","UVB-irradiated Laboratory-generated Secondary Organic Aerosol Extracts Have Increased Cloud Condensation Nuclei Abilities: Comparison with Dissolved Organic Matter and Implications for the Photomineralization Mechanism","Borduas-Dedekind;McNeill","CHIMIA",2020,2
"659","A larger pool of ozone-forming carbon compounds in urban atmospheres","Carslaw;Morrison","NATURE",2000,264
"660","OH and HO2 chemistry during NAMBLEX: roles of oxygenates, halogen oxides and heterogeneous uptake","Carslaw;Williams;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2006,59
"661","The North Atlantic Marine Boundary Layer Experiment (NAMBLEX). Overview of the campaign held at Mace Head, Ireland, in summer 2002","Carslaw;Williams;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2006,44
"662","A modeling enterprise for chemistry of indoor environments (CIE)","Carslaw;Morrison;Waring","INDOOR AIR",2017,6
"663","Impact of surface ozone interactions on indoor air chemistry: A modeling study","Carslaw;Morrison","INDOOR AIR",2017,40
"664","Observations and impacts of bleach washing on indoor chlorine chemistry","Carslaw;Abbatt","INDOOR AIR",2017,54
"665","Reactive indoor air chemistry and health-A workshop summary","Carslaw;Waring","INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH",2017,21
"666","Modelling consortium for chemistry of indoor environments (MOCCIE): integrating chemical processes from molecular to room scales","Carslaw;Young;Rim;Morrison;Shiraiwa;Waring","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,16
"667","Hydrogen Peroxide Emission and Fate Indoors during Non-bleach Cleaning: A Chamber and Modeling Study","Carslaw;Young;Kahan;VandenBoer","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,2
"668","Indoor secondary organic aerosols: Towards an improved representation of their formation and composition in models","Carslaw;Waring","ATMOSPHERIC ENVIRONMENT",2020,6
"669","Indoor Surface Chemistry: Developing a Molecular Picture of Reactions on Indoor Interfaces","Carslaw;Ault;Donaldson;Farmer;Morrison;Shiraiwa;Vance;O'Brien;McNeill;Grassian","CHEM",2020,14
"670","Photolysis-driven indoor air chemistry following cleaning of hospital wards","Carslaw;Kahan","INDOOR AIR",2020,4
"671","Spatial and temporal scales of variability for indoor air constituents","Carslaw;Novoselac;Young;Farmer;Rim;Abbatt;Shiraiwa;Stevens;Kahan","COMMUNICATIONS CHEMISTRY",2021,0
"672","An in situ gas chromatograph with automatic detector switching between PTR- and EI-TOF-MS: isomer-resolved measurements of indoor air","Ziemann;de Gouw","ATMOSPHERIC MEASUREMENT TECHNIQUES",2021,1
"673","Autoxidation of Limonene Emitted in a University Art Museum","Ziemann;de Gouw","ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS",2019,8
"674","Budgets of Organic Carbon Composition and Oxidation in Indoor Air","Ziemann;de Gouw","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,11
"675","Contribution of human-related sources to indoor volatile organic compounds in a university classroom","Ziemann;de Gouw","INDOOR AIR",2016,44
"676","Effects of gas-wall interactions on measurements of semivolatile compounds and small polar molecules","Ziemann;de Gouw","ATMOSPHERIC MEASUREMENT TECHNIQUES",2019,22
"677","Effects of gas-wall partitioning in Teflon tubing and instrumentation on time-resolved measurements of gas-phase organic compounds","Ziemann;de Gouw","ATMOSPHERIC MEASUREMENT TECHNIQUES",2017,63
"678","Identification and Quantification of 4-Nitrocatechol Formed from OH and NO3 Radical-Initiated Reactions of Catechol in Air in the Presence of NOx: Implications for Secondary Organic Aerosol Formation from Biomass Burning","Ziemann;de Gouw","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2018,57
"679","Measurements and modeling of absorptive partitioning of volatile organic compounds to painted surfaces","Ziemann;de Gouw","INDOOR AIR",2020,9
"680","Measurements of delays of gas-phase compounds in a wide variety of tubing materials due to gas-wall interactions","Ziemann;de Gouw","ATMOSPHERIC MEASUREMENT TECHNIQUES",2019,35
"681","O/C and OM/OC ratios of primary, secondary, and ambient organic aerosols with high-resolution time-of-flight aerosol mass spectrometry","Ziemann;Kroll","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2008,1028
"682","Products and Secondary Organic Aerosol Yields from the OH and NO3 Radical-Initiated Oxidation of Resorcinol","Ziemann;de Gouw","ACS EARTH AND SPACE CHEMISTRY",2019,8
"683","Quantification and source characterization of volatile organic compounds from exercising and application of chlorine-based cleaning products in a university athletic center","Ziemann;de Gouw","INDOOR AIR",2021,3
"684","Response of an aerosol mass spectrometer to organonitrates and organosulfates and implications for atmospheric chemistry","Ziemann;Farmer","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2010,293
"685","Secondary organic aerosol yields of 12-carbon alkanes","Ziemann;Shiraiwa","ATMOSPHERIC CHEMISTRY AND PHYSICS",2014,63
"686","Size distribution dynamics reveal particle-phase chemistry in organic aerosol formation","Ziemann;Shiraiwa","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2013,111
"687","Sources of Gas-Phase Species in an Art Museum from Comprehensive Real-Time Measurements","Ziemann;de Gouw","ACS EARTH AND SPACE CHEMISTRY",2021,0
"688","The 2005 Study of Organic Aerosols at Riverside (SOAR-1): instrumental intercomparisons and fine particle composition","Ziemann;Goldstein;Williams;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,95
"689","The Essential Role for Laboratory Studies in Atmospheric Chemistry","Ziemann;Kroll;Abbatt;McNeill","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2017,45
"690","Time-Resolved Measurements of Indoor Chemical Emissions, Deposition, and Reactions in a University Art Museum","Ziemann;de Gouw","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,28
"691","A decade of GOSAT Proxy satellite CH4 observations","Wennberg;Young","EARTH SYSTEM SCIENCE DATA",2020,7
"692","Atmospheric fates of Criegee intermediates in the ozonolysis of isoprene","Wennberg;Goldstein;de Gouw","PHYSICAL CHEMISTRY CHEMICAL PHYSICS",2016,98
"693","Characteristics of greenhouse gas concentrations derived from ground-based FTS spectra at Anmyeondo, South Korea","Wennberg;Young","ATMOSPHERIC MEASUREMENT TECHNIQUES",2018,5
"694","Characterization of a real-time tfor isoprene epoxydiols-derived secondary organic aerosol (IEPOX-SOA) from aerosol mass spectrometer measurements","Wennberg;Goldstein","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY",2015,0
"695","Chemical transport models often underestimate inorganic aerosol acidity in remote regions of the atmosphere","Wennberg;Williams;Williams","COMMUNICATIONS EARTH & ENVIRONMENT",2021,2
"696","Contribution of isoprene-derived organosulfates to free tropospheric aerosol mass","Wennberg;de Gouw","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2010,143
"697","Conversion of hydroperoxides to carbonyls in field and laboratory instrumentation: Observational bias in diagnosing pristine versus anthropogenically controlled atmospheric chemistry","Wennberg;de Gouw","GEOPHYSICAL RESEARCH LETTERS",2014,69
"698","Emissions of organic carbon and methane from petroleum and dairy operations in California's San Joaquin Valley","Wennberg;Goldstein;de Gouw;VandenBoer","ATMOSPHERIC CHEMISTRY AND PHYSICS",2014,38
"699","Evaluation of MOPITT Version 7 joint TIR-NIR X-CO retrievals with TCCON","Wennberg;Young","ATMOSPHERIC MEASUREMENT TECHNIQUES",2019,8
"700","Hydroxymethanesulfonate (HMS) Formation during Summertime Fog in an Arctic Oil Field","Wennberg;Rim","ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS",2021,0
"701","Importance of secondary sources in the atmospheric budgets of formic and acetic acids","Wennberg;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,196
"702","Insights into hydroxyl measurements and atmospheric oxidation in a California forest","Wennberg;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2012,148
"703","Intercomparison of OH and OH reactivity measurements in a high isoprene and low NO environment during the Southern Oxidant and Aerosol Study (SOAS)","Wennberg;Goldstein;de Gouw","ATMOSPHERIC ENVIRONMENT",2018,10
"704","Isoprene photooxidation: new insights into the production of acids and organic nitrates","Wennberg;Kroll","ATMOSPHERIC CHEMISTRY AND PHYSICS",2009,297
"705","Measurement of atmospheric nitrous acid at Blodgett Forest during BEARPEX2007","Wennberg;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2010,45
"706","Measurement of atmospheric nitrous acid at Blodgett Forest during BEARPEX2007 (vol 10, pg 6283, 2010)","Wennberg;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2010,0
"707","New insights into low-NOx isoprene oxidation chemistry","Wennberg;Abbatt","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY",2016,0
"708","Observation of isoprene hydroxynitrates in the southeastern United States and implications for the fate of NOx","Wennberg;Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,52
"709","Observational Insights into Aerosol Formation from Isoprene","Wennberg;Goldstein;Farmer;de Gouw","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2013,75
"710","OCO-3 early mission operations and initial (vEarly) XCO2 and SIF retrievals","Wennberg;Vance","REMOTE SENSING OF ENVIRONMENT",2020,14
"711","On the temperature dependence of organic reactivity, nitrogen oxides, ozone production, and the impact of emission controls in San Joaquin Valley, California","Wennberg;Goldstein;VandenBoer","ATMOSPHERIC CHEMISTRY AND PHYSICS",2014,49
"712","Organic nitrate aerosol formation via NO3 + biogenic volatile organic compounds in the southeastern United States","Wennberg;Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,75
"713","Organic nitrate chemistry and its implications for nitrogen budgets in an isoprene- and monoterpene-rich atmosphere: constraints from aircraft (SEAC(4)RS) and ground-based (SOAS) observations in the Southeast US","Wennberg;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2016,95
"714","Organic nitrate contribution to the oxidized nitrogen budget at the 2013 Southern Oxidant and Aerosol Study (SOAS)","Wennberg;Goldstein;de Gouw","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY",2014,0
"715","Ozone production chemistry in the presence of urban plumes","Wennberg;Goldstein","FARADAY DISCUSSIONS",2016,33
"716","Quantifying sources and sinks of reactive gases in the lower atmosphere using airborne flux observations","Wennberg;Goldstein","GEOPHYSICAL RESEARCH LETTERS",2015,31
"717","Speciation of OH reactivity above the canopy of an isoprene-dominated forest","Wennberg;Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2016,38
"718","SYNTHESIS OF THE SOUTHEAST ATMOSPHERE STUDIES: Investigating Fundamental Atmospheric Chemistry Questions","Wennberg;Goldstein;Turpin;Farmer;de Gouw","BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY",2018,38
"719","Testing Atmospheric Oxidation in an Alabama Forest","Wennberg;Goldstein","JOURNAL OF THE ATMOSPHERIC SCIENCES",2016,32
"720","The ACOS CO2 retrieval algorithm - Part 1: Description and validation against synthetic observations","Wennberg;O'Brien","ATMOSPHERIC MEASUREMENT TECHNIQUES",2012,333
"721","The ACOS CO2 retrieval algorithm - Part II: Global X-CO2 data characterization","Wennberg;O'Brien","ATMOSPHERIC MEASUREMENT TECHNIQUES",2012,205
"722","The lifetime of nitrogen oxides in an isoprene-dominated forest","Wennberg;Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2016,47
"723","The Orbiting Carbon Observatory-2: first 18 months of science data products","Wennberg;O'Brien","ATMOSPHERIC MEASUREMENT TECHNIQUES",2017,105
"724","Total observed organic carbon (TOOC) in the atmosphere: a synthesis of North American observations","Wennberg;Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2008,62
"725","Toward accurate CO2 and CH4 observations from GOSAT","Wennberg;Hartmann","GEOPHYSICAL RESEARCH LETTERS",2011,243
"726","Wet scavenging of soluble gases in DC3 deep convective storms using WRF-Chem simulations and aircraft observations","Wennberg;Morrison","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2016,24
"727","The glyoxal budget and its contribution to organic aerosol for Los Angeles, California, during CalNex 2010","Stevens;Young;de Gouw","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2011,71
"728","OH and HO2 radical chemistry during PROPHET 2008 and CABINEX 2009-Part 1: Measurements and model comparison","Stevens;O'Brien","ATMOSPHERIC CHEMISTRY AND PHYSICS",2013,39
"729","Organic aerosol composition and sources in Pasadena, California, during the 2010 CalNex campaign","Stevens;Goldstein","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,161
"730","Chlorine as a primary radical: evaluation of methods to understand its role in initiation of oxidative cycles","Stevens;Young","ATMOSPHERIC CHEMISTRY AND PHYSICS",2014,60
"731","Gas and aerosol carbon in California: comparison of measurements and model predictions in Pasadena and Bakersfield","Stevens;Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,30
"732","Measurements of hydroxyl and hydroperoxy radicals during CalNex-LA: Model comparisons and radical budgets","Stevens;Young;de Gouw","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2016,45
"733","Chemistry of Volatile Organic Compounds in the Los Angeles basin: Nighttime Removal of Alkenes and Determination of Emission Ratios","Stevens;Isaacman-VanWertz;de Gouw","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2017,19
"734","Chemistry of Volatile Organic Compounds in the Los Angeles Basin: Formation of Oxygenated Compounds and Determination of Emission Ratios","Stevens;Young;Isaacman-VanWertz;de Gouw","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2018,19
"735","Overview of HOMEChem: House Observations of Microbial and Environmental Chemistry","Stevens;Goldstein;Novoselac;Farmer;Abbatt;Ruiz;Vance;O'Brien;Kahan;Grassian;Nazaroff","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,61
"736","Contrasting Reactive Organic Carbon Observations in the Southeast United States (SOAS) and Southern California (CalNex)","Stevens;Goldstein;Young;Isaacman-VanWertz;de Gouw","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,1
"737","Cooking, Bleach Cleaning, and Air Conditioning Strongly Impact Levels of HONO in a House","Stevens;Novoselac;Farmer;Abbatt;Vance","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,4
"738","Measurements of Total OH Reactivity During CalNex-LA","Stevens;Young;de Gouw","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2021,0
"739","Spatial and temporal scales of variability for indoor air constituents","Stevens;Novoselac;Young;Farmer;Rim;Abbatt;Shiraiwa;Carslaw;Kahan","COMMUNICATIONS CHEMISTRY",2021,0
"740","Molecular characterization of organic aerosol using nanospray desorption/electrospray ionization mass spectrometry: CalNex 2010 field study","O'Brien;Goldstein","ATMOSPHERIC ENVIRONMENT",2013,42
"741","Probing molecular associations of field-collected and laboratory-generated SOA with nano-DESI high-resolution mass spectrometry","O'Brien;Goldstein","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,11
"742","Molecular characterization of S- and N-containing organic constituents in ambient aerosols by negative ion mode high-resolution Nanospray Desorption Electrospray Ionization Mass Spectrometry: CalNex 2010 field study","O'Brien;Goldstein","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2014,29
"743","Using advanced mass spectrometry techniques to fully characterize atmospheric organic carbon: current capabilities and remaining gaps","O'Brien;Goldstein;Isaacman-VanWertz;Kroll","FARADAY DISCUSSIONS",2017,20
"744","Overview of HOMEChem: House Observations of Microbial and Environmental Chemistry","O'Brien;Goldstein;Novoselac;Farmer;Abbatt;Ruiz;Vance;Stevens;Kahan;Grassian;Nazaroff","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,61
"745","Photolytic Aging of Secondary Organic Aerosol: Evidence for a Substantial Photo-Recalcitrant Fraction","O'Brien;Kroll","JOURNAL OF PHYSICAL CHEMISTRY LETTERS",2019,12
"746","Ultrasonic nebulization for the elemental analysis of microgram-level samples with offline aerosol mass spectrometry","O'Brien;Kroll","ATMOSPHERIC MEASUREMENT TECHNIQUES",2019,7
"747","Infrared Ion Spectroscopy of Environmental Organic Mixtures: Probing the Composition of alpha-Pinene Secondary Organic Aerosol","O'Brien;Kroll","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,6
"748","Indoor Surface Chemistry: Developing a Molecular Picture of Reactions on Indoor Interfaces","O'Brien;Ault;Donaldson;Farmer;Morrison;Shiraiwa;Vance;Carslaw;McNeill;Grassian","CHEM",2020,10
"749","Glass surface evolution following gas adsorption and particle deposition from indoor cooking events as probed by microspectroscopic analysis","O'Brien;Farmer;Rim;Vance;Grassian","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2020,4
"750","Emerging investigator series: chemical and physical properties of organic mixtures on indoor surfaces during HOMEChem","O'Brien;Shiraiwa;Grassian","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2021,0
"751","Chamber Bioaerosol Study: Outdoor Air and Human Occupants as Sources of Indoor Airborne Microbes","Adams;Nazaroff","PLOS ONE",2015,106
"752","From commensalism to mutualism: integrating the microbial ecology, building science, and indoor air communities to advance research on the indoor microbiome","Adams;Waring","INDOOR AIR",2015,7
"753","Chamber bioaerosol study: human emissions of size-resolved fluorescent biological aerosol particles","Adams;Nazaroff","INDOOR AIR",2016,70
"754","Ten questions concerning the microbiomes of buildings","Adams;Waring","BUILDING AND ENVIRONMENT",2016,76
"755","Microbes and associated soluble and volatile chemicals on periodically wet household surfaces","Adams;Goldstein;Nazaroff","MICROBIOME",2017,26
"756","Schrodinger's microbes: Tools for distinguishing the living from the dead in microbial ecosystems","Adams;Hartmann","MICROBIOME",2017,152
"757","Emission Factors of Microbial Volatile Organic Compounds from Environmental Bacteria and Fungi","Adams;Goldstein","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2018,27
"758","Fungal Signature of Moisture Damage in Buildings: Identification by Targeted and Untargeted Approaches with Mycobiome Data","Adams;Waring","APPLIED AND ENVIRONMENTAL MICROBIOLOGY",2020,2
"759","Ten questions concerning the implications of carpet on indoor chemistry and microbiology","Adams;Morrison","BUILDING AND ENVIRONMENT",2020,6
"760","Fmoc-Diphenylalanine self assembles to a hydrogel via a novel architecture based on pi-pi interlocked beta-sheets","Ulijn;Williams;Williams","ADVANCED MATERIALS",2008,677
"761","Exploiting Biocatalysis in Peptide Self-Assembly","Ulijn;Williams;Williams","BIOPOLYMERS",2010,70
"762","Sequence/structure relationships in aromatic dipeptide hydrogels formed under thermodynamic control by enzyme-assisted self-assembly","Ulijn;Adams","SOFT MATTER",2012,67
"763","Comparison of Methods for Surface Modification of Barium Titanate Nanoparticles for Aqueous Dispersibility: Toward Biomedical Utilization of Perovskite Oxides","Ulijn;O'Brien","ACS APPLIED MATERIALS & INTERFACES",2020,2
"764","In Situ, Noncovalent Labeling and Stimulated Emission Depletion-Based Super-Resolution Imaging of Supramolecular Peptide Nanostructures","Ulijn;O'Brien","ACS NANO",2020,1
"765","Spatial and temporal scales of variability for indoor air constituents","Kahan;Novoselac;Young;Farmer;Rim;Abbatt;Shiraiwa;Carslaw;Stevens","COMMUNICATIONS CHEMISTRY",2021,0
"766","Chemical Morphology Controls Reactivity of OH Radicals at the Air–Ice Interface","Kahan;Donaldson","The Journal of Physical Chemistry A",2021,0
